"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. cinnamomi","Syringa","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Tasmannia","Northern Europe","Europe",1,0,1,0,0,0
"P. cinnamomi","Taxodium","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Taxus","Northern Europe","Europe",129,118,4,5,0,2
"P. cinnamomi","Telopea","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Tsuga","Northern Europe","Europe",2,0,2,0,0,0
"P. cinnamomi","Vaccinium","Northern Europe","Europe",7,5,1,1,0,0
"P. cinnamomi","Veronica","Northern Europe","Europe",2,2,0,0,0,0
"P. cinnamomi","Viburnum","Northern Europe","Europe",7,6,0,0,0,1
"P. cinnamomi","Vicia","Northern Europe","Europe",1,0,0,0,0,1
"P. cinnamomi","Wisteria","Northern Europe","Europe",4,2,0,0,0,2
"P. kernoviae","Aesculus","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Berberis","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Camellia","Northern Europe","Europe",3,3,0,0,0,0
"P. kernoviae","Castanea","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Drimys","Northern Europe","Europe",58,51,0,3,0,4
"P. kernoviae","Fagus","Northern Europe","Europe",11,2,1,0,0,8
"P. kernoviae","Kalmia","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Leucothoe","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Magnolia","Northern Europe","Europe",19,14,1,0,0,4
"P. kernoviae","Myrtus","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Pieris","Northern Europe","Europe",72,32,1,34,0,5
"P. kernoviae","Quercus","Northern Europe","Europe",4,4,0,0,0,0
"P. kernoviae","Rhododendron","Northern Europe","Europe",544,431,6,93,0,14
"P. kernoviae","Sequoiadendron","Northern Europe","Europe",1,0,0,1,0,0
"P. kernoviae","Sorbus","Northern Europe","Europe",1,1,0,0,0,0
"P. kernoviae","Vaccinium","Northern Europe","Europe",116,112,0,0,0,4
"P. pluvialis","Pseudotsuga","Northern Europe","Europe",3,0,2,0,0,1
"P. pluvialis","Tsuga","Northern Europe","Europe",30,0,28,0,0,2
"P. pseudosyringae","Acer","Northern Europe","Europe",2,0,2,0,0,0
"P. pseudosyringae","Betula","Northern Europe","Europe",2,1,1,0,0,0
"P. pseudosyringae","Fagus","Northern Europe","Europe",16,4,6,0,0,6
