"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. pseudosyringae","Betula","Northern Europe","Europe",2,1,1,NA,NA,NA
"P. pseudosyringae","Fagus","Northern Europe","Europe",16,4,6,NA,NA,6
"P. pseudosyringae","Ilex","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Kalmia","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. pseudosyringae","Larix","Northern Europe","Europe",3,NA,3,NA,NA,NA
"P. pseudosyringae","Magnolia","Northern Europe","Europe",3,NA,3,NA,NA,NA
"P. pseudosyringae","Nothofagus","Northern Europe","Europe",46,2,2,NA,NA,21
"P. pseudosyringae","Pieris","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. pseudosyringae","Quercus","Northern Europe","Europe",6,NA,6,NA,NA,NA
"P. pseudosyringae","Rhododendron","Northern Europe","Europe",2,1,1,NA,NA,NA
"P. pseudosyringae","Tilia","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. pseudosyringae","Vaccinium","Northern Europe","Europe",55,30,NA,18,NA,7
"P. pseudosyringae","Veronica","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Abies","Northern Europe","Europe",4,NA,1,1,1,1
"P. ramorum","Acer","Northern Europe","Europe",9,6,NA,NA,NA,3
"P. ramorum","Aesculus","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Agarista","Northern Europe","Europe",2,1,NA,1,NA,NA
"P. ramorum","Arbutus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Aucuba","Northern Europe","Europe",2,NA,NA,2,NA,NA
"P. ramorum","Berberis","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Betula","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Camellia","Northern Europe","Europe",197,191,NA,4,NA,2
"P. ramorum","Castanea","Northern Europe","Europe",82,68,NA,7,NA,7
"P. ramorum","Castanopsis","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Cedrus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Cephalotaxus","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Chaenomeles","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Chamaecyparis","Northern Europe","Europe",7,2,2,1,NA,2
"P. ramorum","Choisya","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Chrysojasminum","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Cinnamomum","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Cornus","Northern Europe","Europe",18,18,NA,NA,NA,NA
"P. ramorum","Corylopsis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Cotoneaster","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. ramorum","Crataegus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Daphne","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Drimys","Northern Europe","Europe",8,6,NA,NA,NA,2
"P. ramorum","Elaeagnus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Euonymus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Exochorda","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Fagus","Northern Europe","Europe",18,11,1,NA,NA,6
"P. ramorum","Fothergilla","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Fraxinus","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Garrya","Northern Europe","Europe",7,5,1,1,NA,NA
"P. ramorum","Gaultheria","Northern Europe","Europe",5,4,NA,1,NA,NA
"P. ramorum","Griselinia","Northern Europe","Europe",4,1,NA,NA,NA,3
"P. ramorum","Hamamelis","Northern Europe","Europe",35,22,NA,4,NA,9
"P. ramorum","Ilex","Northern Europe","Europe",10,10,NA,NA,NA,NA
"P. ramorum","Kalmia","Northern Europe","Europe",70,51,7,10,NA,2
"P. ramorum","Larix","Northern Europe","Europe",4061,862,3188,1,4,6
"P. ramorum","Laurus","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Leucothoe","Northern Europe","Europe",15,14,NA,1,NA,NA
"P. ramorum","Ligustrum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Lithocarpus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Magnolia","Northern Europe","Europe",317,293,2,13,NA,9
"P. ramorum","Nephrolepis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Nothofagus","Northern Europe","Europe",5,2,1,NA,NA,2
"P. ramorum","Osmanthus","Northern Europe","Europe",13,6,1,1,NA,5
"P. ramorum","Parrotia","Northern Europe","Europe",8,5,NA,1,NA,2
"P. ramorum","Photinia","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Picea","Northern Europe","Europe",25,NA,25,NA,NA,NA
"P. ramorum","Pieris","Northern Europe","Europe",240,205,11,20,NA,4
"P. ramorum","Pinus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Pittosporum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Platanus","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Prunus","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Quercus","Northern Europe","Europe",65,45,NA,6,NA,14
"P. ramorum","Rhododendron","Northern Europe","Europe",4484,3643,348,462,1,30
"P. ramorum","Ribes","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Rosa","Northern Europe","Europe",3,2,NA,NA,NA,1
"P. ramorum","Sarcococca","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Schima","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. ramorum","Sequoia","Northern Europe","Europe",3,NA,NA,3,NA,NA
"P. ramorum","Skimmia","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Sorbus","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Stranvaesia","Northern Europe","Europe",2,1,NA,1,NA,NA
"P. ramorum","Syringa","Northern Europe","Europe",4,2,NA,NA,NA,2
"P. ramorum","Taxus","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. ramorum","Tsuga","Northern Europe","Europe",10,NA,10,NA,NA,NA
"P. ramorum","Umbellularia","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Vaccinium","Northern Europe","Europe",124,105,2,15,NA,2
"P. ramorum","Viburnum","Northern Europe","Europe",478,375,15,49,1,38
"P. ramorum","Viscum","Northern Europe","Europe",1,1,NA,NA,NA,NA
