"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Alnus alnobetula","Alnus alnobetula","Southwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus cordata","Alnus cordata","Southeastern Europe","Europe","No","Yes","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Macaronesia","Africa","Yes","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Australia","Australasia","Yes","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Southwestern Europe","Europe","Both","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Middle Europe","Europe","Yes","","","Yes","Yes","","",""
"Alnus firma","Alnus firma","Eastern Asia","Asia-Temperate","Both","","","","","","",""
"Alnus glutinosa","Alnus glutinosa","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","New Zealand","Australasia","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","North-Central U.S.A.","Northern America","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Western Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Eastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Eastern Canada","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southern South America","Southern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southeastern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southern Africa","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Middle Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Australia","Australasia","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus incana","Alnus incana","Eastern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southwestern Europe","Europe","Both","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Middle Europe","Europe","Both","Yes","Yes","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southeastern Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Western Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Eastern Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Subarctic America","Northern America","No","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","South-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","North-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southern South America","Southern America","Yes","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Siberia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Macaronesia","Africa","Yes","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Caucasus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Western Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Alnus rubra","Alnus rubra","Subarctic America","Northern America","No","","","","","","",""
"Alnus rubra","Alnus rubra","Northwestern U.S.A.","Northern America","No","Yes","Yes","","","","",""
"Alnus rubra","Alnus rubra","Western Canada","Northern America","No","","","","","","",""
"Alnus rubra","Alnus rubra","Southern South America","Southern America","Yes","","","","","","",""
"Alnus rubra","Alnus rubra","Southwestern U.S.A.","Northern America","No","Yes","","","","","",""
"Amperea ericoides","Amperea ericoides","Australia","Australasia","No","Yes","Yes","","","","",""
"Amperea xiphoclada","Amperea xiphoclada","Australia","Australasia","No","Yes","Yes","","","","",""
"Angophora costata","Angophora costata","Australia","Australasia","No","Yes","Yes","","","","",""
"Angophora hispida","Angophora hispida","Australia","Australasia","No","Yes","Yes","","","","",""
"Antidesma pulvinatum","Antidesma pulvinatum","North-Central Pacific","Pacific","No","Yes","Yes","","","","",""
"Araucaria angustifolia","Araucaria angustifolia","Southern South America","Southern America","No","Yes","","","","","",""
"Araucaria angustifolia","Araucaria angustifolia","Brazil","Southern America","No","Yes","Yes","","","","",""
"Araucaria araucana","Araucaria araucana","Northern Europe","Europe","Yes","Yes","","Yes","","Yes","","Yes"
"Araucaria araucana","Araucaria araucana","Southern South America","Southern America","No","Yes","","Yes","","Yes","","Yes"
"Araucaria bidwillii","Araucaria bidwillii","Australia","Australasia","No","Yes","Yes","","","","",""
"Araucaria bidwillii","Araucaria bidwillii","Western Indian Ocean","Africa","Yes","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Southwestern Pacific","Pacific","Both","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","South-Central Pacific","Pacific","Yes","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Western Indian Ocean","Africa","Yes","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Indian Subcontinent","Asia-Tropical","Yes","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","New Zealand","Australasia","Yes","Yes","Yes","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Australia","Australasia","No","Yes","","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Australia","Australasia","No","Yes","Yes","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","New Zealand","Australasia","Yes","","","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Caribbean","Southern America","Yes","","","","","","",""
"Aucuba japonica","Aucuba japonica","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Southwestern Europe","Europe","Yes","","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Middle Europe","Europe","Yes","","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","China","Asia-Temperate","Both","","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Northwestern U.S.A.","Northern America","Yes","","","Yes","Yes","","",""
"Aucuba japonica","Aucuba japonica","Southeastern U.S.A.","Northern America","Yes","Yes","Yes","Yes","Yes","","",""
"Backhousia citriodora","Backhousia citriodora","Australia","Australasia","No","Yes","Yes","","","","",""
"Betula papyrifera","Betula papyrifera","North-Central U.S.A.","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Western Canada","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Subarctic America","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Eastern Canada","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","","",""
"Betula papyrifera","Betula papyrifera","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","","",""
"Betula pendula","Betula pendula","Southeastern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Western Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Mongolia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Siberia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Middle Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Russian Far East","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Australia","Australasia","Yes","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Western Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Northwestern U.S.A.","Northern America","Yes","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Eastern Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Subarctic America","Northern America","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Caucasus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","North-Central U.S.A.","Northern America","Yes","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Middle Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","New Zealand","Australasia","Yes","Yes","Yes","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Southern South America","Southern America","Both","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Northern Africa","Africa","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","China","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Betula pendula","Betula pendula","Eastern Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Betula pubescens","Betula pubescens","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Southwestern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Western Canada","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula pubescens","Betula pubescens","Southeastern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Betula tianschanica","Betula tianschanica","Middle Asia","Asia-Temperate","No","","","","","","",""
"Betula tianschanica","Betula tianschanica","Mongolia","Asia-Temperate","No","","","","","","",""
"Betula tianschanica","Betula tianschanica","China","Asia-Temperate","No","","","","","","",""
"Betula utilis","Betula utilis","Middle Asia","Asia-Temperate","No","","","","","","",""
"Betula utilis","Betula utilis","China","Asia-Temperate","No","","","","","","",""
"Betula utilis","Betula utilis","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Betula utilis","Betula utilis","Western Asia","Asia-Temperate","No","","","","","","",""
"Caladenia formosa","Caladenia formosa","Australia","Australasia","No","Yes","Yes","","","","",""
"Caleana nigrita","Caleana nigrita","Australia","Australasia","No","Yes","Yes","","","","",""
"Calytrix alpestris","Calytrix alpestris","Australia","Australasia","No","","","","","","",""
"Calytrix flavescens","Calytrix flavescens","Australia","Australasia","No","Yes","Yes","","","","",""
"Calytrix tetragona","Calytrix tetragona","Australia","Australasia","No","Yes","Yes","","","","",""
"Carpinus betulus","Carpinus betulus","Middle Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Southeastern Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Eastern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Southwestern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Caucasus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Western Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus betulus","Carpinus betulus","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","","","Yes"
"Castanea crenata","Castanea crenata","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","","",""
"Castanea crenata","Castanea crenata","Southwestern Europe","Europe","Yes","Yes","","Yes","Yes","","",""
"Castanea crenata","Castanea crenata","Southeastern Europe","Europe","Yes","Yes","","Yes","Yes","","",""
"Castanea crenata","Castanea crenata","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","","",""
"Castanea dentata","Castanea dentata","Southeastern U.S.A.","Northern America","No","Yes","Yes","Yes","","","",""
"Castanea dentata","Castanea dentata","Northeastern U.S.A.","Northern America","No","Yes","Yes","Yes","","","",""
"Castanea dentata","Castanea dentata","North-Central U.S.A.","Northern America","No","Yes","Yes","Yes","","","",""
"Castanea dentata","Castanea dentata","Eastern Canada","Northern America","No","","","Yes","","","",""
"Castanea mollissima","Castanea mollissima","Northeastern U.S.A.","Northern America","Yes","","","","","","",""
"Castanea mollissima","Castanea mollissima","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Castanea mollissima","Castanea mollissima","Eastern Asia","Asia-Temperate","Both","Yes","","","","","",""
"Castanea mollissima","Castanea mollissima","China","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanea mollissima","Castanea mollissima","Southeastern U.S.A.","Northern America","Yes","","","","","","",""
"Castanea mollissima","Castanea mollissima","North-Central U.S.A.","Northern America","Yes","","","","","","",""
"Castanea mollissima","Castanea mollissima","Caribbean","Southern America","Yes","","","","","","",""
"Castanea ozarkensis","Castanea ozarkensis","North-Central U.S.A.","Northern America","No","","","","","","",""
"Castanea ozarkensis","Castanea ozarkensis","Southeastern U.S.A.","Northern America","No","","","","","","",""
"Castanea ozarkensis","Castanea ozarkensis","South-Central U.S.A.","Northern America","No","","","","","","",""
"Castanea pumila","Castanea pumila","Northeastern U.S.A.","Northern America","No","","","","","","",""
"Castanea pumila","Castanea pumila","South-Central U.S.A.","Northern America","No","","","","","","",""
"Castanea pumila","Castanea pumila","Southeastern U.S.A.","Northern America","No","Yes","Yes","","","","",""
"Castanea pumila","Castanea pumila","North-Central U.S.A.","Northern America","No","Yes","Yes","","","","",""
"Castanea sativa","Castanea sativa","Northern Europe","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Southeastern Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Northeastern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Western Asia","Asia-Temperate","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Southwestern Europe","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Middle Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Northern Africa","Africa","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Caribbean","Southern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Southern South America","Southern America","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Castanea sativa","Castanea sativa","Eastern Europe","Europe","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanopsis carlesii","Castanopsis carlesii","China","Asia-Temperate","No","","","","","","",""
"Castanopsis carlesii","Castanopsis carlesii","Indo-China","Asia-Tropical","No","","","","","","",""
"Castanopsis carlesii","Castanopsis carlesii","Eastern Asia","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanopsis chinensis","Castanopsis chinensis","Indo-China","Asia-Tropical","No","Yes","Yes","","","","",""
"Castanopsis chinensis","Castanopsis chinensis","China","Asia-Temperate","No","","","","","","",""
"Castanopsis chinensis","Castanopsis chinensis","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Castanopsis faberi","Castanopsis faberi","Eastern Asia","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanopsis faberi","Castanopsis faberi","China","Asia-Temperate","No","","","","","","",""
"Castanopsis faberi","Castanopsis faberi","Indo-China","Asia-Tropical","No","","","","","","",""
"Castanopsis indica","Castanopsis indica","Indo-China","Asia-Tropical","No","","","","","","",""
"Castanopsis indica","Castanopsis indica","Eastern Asia","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanopsis indica","Castanopsis indica","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Castanopsis indica","Castanopsis indica","China","Asia-Temperate","No","","","","","","",""
"Castanopsis kawakamii","Castanopsis kawakamii","Indo-China","Asia-Tropical","No","","","","","","",""
"Castanopsis kawakamii","Castanopsis kawakamii","Eastern Asia","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanopsis kawakamii","Castanopsis kawakamii","China","Asia-Temperate","No","","","","","","",""
"Castanopsis sieboldii","Castanopsis sieboldii","Eastern Asia","Asia-Temperate","No","Yes","Yes","","","","",""
"Castanopsis tribuloides","Castanopsis tribuloides","Indo-China","Asia-Tropical","No","","","Yes","Yes","","",""
"Castanopsis tribuloides","Castanopsis tribuloides","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","","",""
"Castanopsis tribuloides","Castanopsis tribuloides","China","Asia-Temperate","No","","","Yes","Yes","","",""
"Chamelaucium axillare","Chamelaucium axillare","Australia","Australasia","No","Yes","Yes","","","","",""
"Chamelaucium ciliatum","Chamelaucium ciliatum","Australia","Australasia","No","Yes","Yes","","","","",""
"Chamelaucium uncinatum","Chamelaucium uncinatum","New Zealand","Australasia","Yes","","","","","","",""
"Chamelaucium uncinatum","Chamelaucium uncinatum","Australia","Australasia","No","Yes","Yes","","","","",""
"Chamelaucium uncinatum","Chamelaucium uncinatum","Southwestern U.S.A.","Northern America","Yes","","","","","","",""
"Cheirodendron trigynum","Cheirodendron trigynum","North-Central Pacific","Pacific","No","Yes","Yes","","","","",""
"Chrysolepis chrysophylla","Chrysolepis chrysophylla","Southwestern U.S.A.","Northern America","No","Yes","Yes","","","","",""
"Chrysolepis chrysophylla","Chrysolepis chrysophylla","Northwestern U.S.A.","Northern America","No","Yes","","","","","",""
"Cinchona calisaya","Cinchona calisaya","West-Central Tropical Africa","Africa","Both","","","","","","",""
"Cinchona calisaya","Cinchona calisaya","Northwestern Pacific","Pacific","Yes","","","","","","",""
"Cinchona calisaya","Cinchona calisaya","Western South America","Southern America","No","","","","","","",""
"Cinchona calisaya","Cinchona calisaya","Central America","Southern America","Yes","","","","","","",""
"Cinchona officinalis","Cinchona officinalis","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Cinchona officinalis","Cinchona officinalis","Western South America","Southern America","Both","Yes","Yes","","","","",""
"Cinchona officinalis","Cinchona officinalis","Caribbean","Southern America","Yes","Yes","","","","","",""
"Cinchona officinalis","Cinchona officinalis","West Tropical Africa","Africa","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Central America","Southern America","Both","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","South-Central Pacific","Pacific","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Western South America","Southern America","Both","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","Malesia","Asia-Tropical","Yes","Yes","Yes","","","","",""
"Cinchona pubescens","Cinchona pubescens","West Tropical Africa","Africa","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","North-Central Pacific","Pacific","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Mexico","Northern America","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Northern South America","Southern America","No","Yes","","","","","",""
"Cinchona pubescens","Cinchona pubescens","West-Central Tropical Africa","Africa","Yes","","","","","","",""
"Cinchona pubescens","Cinchona pubescens","Caribbean","Southern America","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Indo-China","Asia-Tropical","Both","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Southeastern Europe","Europe","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","South-Central Pacific","Pacific","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Northeast Tropical Africa","Africa","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","North-Central Pacific","Pacific","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","West Tropical Africa","Africa","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Western Indian Ocean","Africa","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Papuasia","Asia-Tropical","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Malesia","Asia-Tropical","Both","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","China","Asia-Temperate","No","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Central America","Southern America","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Southwestern Pacific","Pacific","Yes","Yes","Yes","","","","",""
"Colocasia esculenta","Colocasia esculenta","Caribbean","Southern America","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Australia","Australasia","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Eastern Asia","Asia-Temperate","Both","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","South Tropical Africa","Africa","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Northern Africa","Africa","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Southwestern Europe","Europe","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Southeastern U.S.A.","Northern America","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Macaronesia","Africa","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Mexico","Northern America","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Western Asia","Asia-Temperate","Yes","Yes","","","","","",""
"Colocasia esculenta","Colocasia esculenta","Western South America","Southern America","Yes","","","","","","",""
"Colocasia esculenta","Colocasia esculenta","New Zealand","Australasia","Yes","","","","","","",""
