"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Betula","South-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Australia","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southern South America","Southern America","Both","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Middle Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Caladenia","Australia","Australasia","No","Yes","Yes","","","","",""
"Caladenia","Malesia","Asia-Tropical","No","","","","","","",""
"Caladenia","Southwestern Pacific","Pacific","No","","","","","","",""
"Caladenia","New Zealand","Australasia","No","","","","","","",""
"Caleana","Australia","Australasia","No","Yes","Yes","","","","",""
"Caleana","New Zealand","Australasia","No","","","","","","",""
"Calytrix","Australia","Australasia","No","Yes","Yes","","","","",""
"Carpinus","North-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","China","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus","Southeastern Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Carpinus","Indo-China","Asia-Tropical","No","","","Yes","Yes","","","Yes"
"Carpinus","Southwestern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Carpinus","Caucasus","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus","Central America","Southern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","","","Yes"
"Carpinus","South-Central U.S.A.","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Europe","Europe","No","","","Yes","Yes","","","Yes"
"Carpinus","Mexico","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Middle Europe","Europe","No","Yes","","Yes","Yes","","","Yes"
"Carpinus","Western Asia","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Canada","Northern America","No","","","Yes","Yes","","","Yes"
"Carpinus","Indian Subcontinent","Asia-Tropical","No","Yes","","Yes","Yes","","","Yes"
"Carpinus","Russian Far East","Asia-Temperate","No","","","Yes","Yes","","","Yes"
"Castanea","North-Central U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southeastern U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northeastern U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","South-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southwestern Europe","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Western Asia","Asia-Temperate","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northern Africa","Africa","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southeastern Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Europe","Europe","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Asia","Asia-Temperate","Both","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Middle Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Caribbean","Southern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","China","Asia-Temperate","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northern Europe","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southern South America","Southern America","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Castanopsis","China","Asia-Temperate","No","","","Yes","Yes","","",""
"Castanopsis","Eastern Asia","Asia-Temperate","No","Yes","Yes","Yes","Yes","","",""
"Castanopsis","Indian Subcontinent","Asia-Tropical","No","Yes","","Yes","Yes","","",""
"Castanopsis","Malesia","Asia-Tropical","No","","","Yes","Yes","","",""
"Castanopsis","Indo-China","Asia-Tropical","No","Yes","Yes","Yes","Yes","","",""
"Castanopsis","Papuasia","Asia-Tropical","No","Yes","Yes","Yes","Yes","","",""
"Chamelaucium","Australia","Australasia","No","Yes","Yes","","","","",""
"Chamelaucium","Southwestern U.S.A.","Northern America","Yes","","","","","","",""
"Chamelaucium","New Zealand","Australasia","Yes","","","","","","",""
"Cheirodendron","South-Central Pacific","Pacific","No","","","","","","",""
"Cheirodendron","North-Central Pacific","Pacific","No","Yes","Yes","","","","",""
"Chrysolepis","Northwestern U.S.A.","Northern America","No","Yes","","","","","",""
"Chrysolepis","Southwestern U.S.A.","Northern America","No","Yes","Yes","","","","",""
"Cinchona","Caribbean","Southern America","Yes","Yes","","","","","",""
"Cinchona","Central America","Southern America","Both","Yes","Yes","","","","",""
"Cinchona","Mexico","Northern America","Yes","","","","","","",""
"Cinchona","West-Central Tropical Africa","Africa","Both","Yes","Yes","","","","",""
"Cinchona","Northwestern Pacific","Pacific","Yes","","","","","","",""
"Cinchona","Northern South America","Southern America","No","Yes","","","","","",""
"Cinchona","West Tropical Africa","Africa","Yes","","","","","","",""
"Cinchona","Western South America","Southern America","Both","Yes","Yes","","","","",""
"Cinchona","North-Central Pacific","Pacific","Yes","","","","","","",""
"Cinchona","Middle Atlantic Ocean","Africa","Yes","","","","","","",""
"Cinchona","Malesia","Asia-Tropical","Yes","Yes","Yes","","","","",""
