"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. cactorum","Eucalyptus pauciflora","Eucalyptus","Australasia","Australia",NA,NA
"P. fallax","Eucalyptus nitens","Eucalyptus","Australasia","New Zealand",NA,NA
"P. nicotianae","Eucalyptus nitens","Eucalyptus","Africa","Southern Africa",NA,NA
"P. gonapodyides","Eucalyptus obliqua","Eucalyptus","Australasia","Australia",NA,NA
"P. gonapodyides","Eucalyptus obliqua","Eucalyptus","Australasia","Australia","Victoria","Victoria"
"P. cinnamomi","Eucalyptus obliqua","Eucalyptus","Pacific","North-Central Pacific","Hawaii",NA
"P. cinnamomi","Eucalyptus obliqua","Eucalyptus","Australasia","Australia",NA,NA
"P. cinnamomi","Eucalyptus occidentalis","Eucalyptus","Australasia","Australia",NA,NA
"P. heveae","Eucalyptus pilularis","Eucalyptus","Australasia","Australia",NA,NA
"P. cinnamomi","Eucalyptus pilularis","Eucalyptus","Pacific","North-Central Pacific","Hawaii",NA
"P. boehmeriae","Eucalyptus pilularis","Eucalyptus","Australasia","Australia",NA,NA
"P. boodjera","Eucalyptus polybractea","Eucalyptus","Australasia","Australia",NA,NA
"P. cryptogea","Eucalyptus radiata","Eucalyptus","Australasia","Australia",NA,NA
"P. cinnamomi","Eucalyptus radiata","Eucalyptus","Africa","Southern Africa",NA,NA
"P. fallax","Eucalyptus regnans","Eucalyptus","Australasia","Australia","Victoria","Victoria"
"P. cinnamomi","Eucalyptus regnans","Eucalyptus","Australasia","Australia",NA,NA
"P. fallax","Eucalyptus regnans","Eucalyptus","Australasia","New Zealand",NA,NA
"P. nicotianae","Eucalyptus regnans","Eucalyptus","Europe","Southeastern Europe","Italy","Italy"
"P. cactorum","Eucalyptus risdonii","Eucalyptus","Australasia","Australia",NA,NA
"P. cinnamomi","Eucalyptus robusta","Eucalyptus","Pacific","North-Central Pacific","Hawaii",NA
"P. cinnamomi","Eucalyptus rubida","Eucalyptus","Australasia","Australia",NA,NA
"P. cryptogea","Eucalyptus rudis","Eucalyptus","Australasia","Australia",NA,NA
