"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Alnus","Rhode I.","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Nevada","Southwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Switzerland","Middle Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","West Virginia","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Amperea","Victoria","Australia","Australasia","No","","","","","","",""
"Amperea","Tasmania","Australia","Australasia","No","","","","","","",""
"Amperea","Western Australia","Australia","Australasia","No","","","","","","",""
"Amperea","South Australia","Australia","Australasia","No","","","","","","",""
"Amperea","Queensland","Australia","Australasia","No","","","","","","",""
"Amperea","Northern Territory","Australia","Australasia","No","","","","","","",""
"Amperea","New South Wales","Australia","Australasia","No","","","","","","",""
"Angophora","Queensland","Australia","Australasia","No","","","","","","",""
"Angophora","Victoria","Australia","Australasia","No","","","","","","",""
"Angophora","New South Wales","Australia","Australasia","No","","","","","","",""
"Antidesma","Western Australia","Australia","Australasia","No","","","","","","",""
"Antidesma","Liberia","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Burundi","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","New Caledonia","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Society Is.","South-Central Pacific","Pacific","Yes","","","","","","",""
"Antidesma","Queensland","Australia","Australasia","No","","","","","","",""
"Antidesma","Tanzania","East Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Cabinda","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Fiji","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Chad","Northeast Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Nigeria","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Wallis-Futuna Is.","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Hawaii","North-Central Pacific","Pacific","No","Yes","Yes","","","","",""
"Antidesma","Caroline Is.","Northwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","Caprivi Strip","Southern Africa","Africa","No","","","","","","",""
"Antidesma","Ghana","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Zambia","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Sudan","Northeast Tropical Africa","Africa","No","","","","","","",""
