"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Eucalyptus","Northern America","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Euphorbia","Northern America","Both","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Southern America","Both","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Europe","No","Yes","Yes","Yes","Yes","","","Yes"
"Euphorbia","Africa","No","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Pacific","Both","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Australasia","Both","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Asia-Temperate","Both","Yes","","Yes","Yes","","","Yes"
"Euphorbia","Antarctica","Yes","","","Yes","Yes","","","Yes"
"Euphorbia","Asia-Tropical","Both","Yes","","Yes","Yes","","","Yes"
"Fagus","Asia-Temperate","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fagus","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fagus","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Fagus","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Fatsia","Asia-Temperate","Both","","","Yes","","","","Yes"
"Fatsia","Southern America","Yes","Yes","","Yes","","","","Yes"
"Fatsia","Australasia","Yes","Yes","Yes","Yes","","","","Yes"
"Fatsia","Europe","Yes","Yes","","Yes","","","","Yes"
"Feijoa","Africa","Yes","","","","","","",""
"Feijoa","Southern America","Both","","","","","","",""
"Feijoa","Australasia","Yes","Yes","Yes","","","","",""
"Glochidion","Asia-Tropical","No","","","","","","",""
"Glochidion","Asia-Temperate","No","Yes","Yes","","","","",""
"Glochidion","Pacific","No","","","","","","",""
"Glochidion","Australasia","No","","","","","","",""
"Glochidion","Northern America","Yes","","","","","","",""
"Griselinia","Southern America","No","","","Yes","Yes","","","Yes"
"Griselinia","Australasia","Both","Yes","Yes","Yes","Yes","","","Yes"
"Griselinia","Europe","Yes","Yes","Yes","Yes","Yes","","","Yes"
"Hedera","Australasia","Yes","Yes","","Yes","","Yes","","Yes"
"Hedera","Asia-Tropical","No","","","Yes","","Yes","","Yes"
"Hedera","Europe","No","Yes","Yes","Yes","","Yes","","Yes"
"Hedera","Africa","No","","","Yes","","Yes","","Yes"
"Hedera","Southern America","Yes","Yes","","Yes","","Yes","","Yes"
"Hedera","Northern America","Yes","Yes","","Yes","","Yes","","Yes"
"Hedera","Asia-Temperate","No","Yes","","Yes","","Yes","","Yes"
"Hedera","Pacific","Yes","Yes","","Yes","","Yes","","Yes"
"Hypocalymma","Australasia","No","Yes","Yes","","","","",""
"Kadua","Pacific","No","Yes","Yes","","","","",""
"Kunzea","Australasia","No","Yes","Yes","","","","",""
"Lavandula","Europe","Both","Yes","Yes","Yes","Yes","Yes","",""
"Lavandula","Africa","Both","","","Yes","Yes","Yes","",""
"Lavandula","Australasia","Yes","Yes","","Yes","Yes","Yes","",""
"Lavandula","Asia-Temperate","No","Yes","","Yes","Yes","Yes","",""
"Lavandula","Pacific","Yes","","","Yes","Yes","Yes","",""
"Lavandula","Asia-Tropical","Both","","","Yes","Yes","Yes","",""
"Lavandula","Southern America","Yes","","","Yes","Yes","Yes","",""
"Lavandula","Northern America","Yes","Yes","","Yes","Yes","Yes","",""
"Leptospermum","Africa","Yes","","","","","","","Yes"
"Leptospermum","Asia-Tropical","No","","","","","","","Yes"
"Leptospermum","Australasia","No","Yes","Yes","","","","","Yes"
"Leptospermum","Northern America","Yes","Yes","Yes","","","","","Yes"
"Leptospermum","Pacific","Yes","","","","","","","Yes"
"Leptospermum","Antarctica","Yes","","","","","","","Yes"
"Leptospermum","Europe","Yes","","","","","","","Yes"
"Liriodendron","Northern America","No","Yes","Yes","","","","",""
"Liriodendron","Pacific","Yes","","","","","","",""
"Liriodendron","Asia-Temperate","No","","","","","","",""
"Liriodendron","Asia-Tropical","No","","","","","","",""
"Lithocarpus","Asia-Temperate","No","Yes","Yes","Yes","Yes","","",""
"Lithocarpus","Asia-Tropical","No","Yes","","Yes","Yes","","",""
"Lophomyrtus","Australasia","No","Yes","Yes","","","","",""
"Lophostemon","Australasia","No","Yes","Yes","","","","",""
"Lophostemon","Africa","Yes","","","","","","",""
"Lophostemon","Asia-Temperate","Yes","","","","","","",""
"Lophostemon","Pacific","Yes","","","","","","",""
"Lophostemon","Asia-Tropical","No","","","","","","",""
"Luma","Europe","Yes","","","","","","","Yes"
"Luma","Southern America","Both","Yes","Yes","","","","","Yes"
"Luma","Northern America","Yes","","","","","","","Yes"
"Magnolia","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes",""
"Magnolia","Asia-Tropical","Both","Yes","Yes","Yes","Yes","Yes","Yes",""
"Magnolia","Southern America","Both","Yes","","Yes","Yes","Yes","Yes",""
"Magnolia","Africa","Yes","","","Yes","Yes","Yes","Yes",""
"Magnolia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes",""
"Mandevilla","Southern America","No","","","","","","",""
"Mandevilla","Northern America","No","Yes","Yes","","","","",""
"Mandevilla","Asia-Temperate","Yes","Yes","","","","","",""
"Melaleuca","Australasia","Both","Yes","Yes","Yes","","","",""
"Melaleuca","Pacific","Both","","","Yes","","","",""
"Melaleuca","Asia-Tropical","Both","","","Yes","","","",""
"Melaleuca","Africa","Yes","","","Yes","","","",""
"Melaleuca","Europe","Yes","Yes","Yes","Yes","","","",""
"Melaleuca","Northern America","Yes","Yes","","Yes","","","",""
"Melaleuca","Southern America","Yes","","","Yes","","","",""
"Melaleuca","Asia-Temperate","Yes","","","Yes","","","",""
"Melanopsidium","Southern America","No","Yes","Yes","","","","",""
"Meryta","Pacific","No","","","","","","",""
