"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Acacia",NA,NA,"New Zealand","Australasia",8,NA
"P. cinnamomi","Acacia",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Acer","South Korea","Korea","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Acer","Spain","Spain","Southwestern Europe","Europe",3,NA
"P. cinnamomi","Acer",NA,"Korea","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Acer",NA,NA,NA,"Northern America",4,NA
"P. cinnamomi","Acrotriche",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Actinidia","South Korea","Korea","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Actinidia","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Actinidia",NA,NA,"Australia","Australasia",14,NA
"P. cinnamomi","Actinidia",NA,NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Actinodium",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Adenanthos","Western Australia","Western Australia","Australia","Australasia",1,NA
"P. cinnamomi","Adenanthos",NA,NA,"Australia","Australasia",5,NA
"P. cinnamomi","Agathis",NA,NA,"New Zealand","Australasia",18,NA
"P. cinnamomi","Agathosma","Western Cape Province","Cape Provinces","Southern Africa","Africa",2,NA
"P. cinnamomi","Agathosma",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Agonis",NA,NA,"Australia","Australasia",6,NA
"P. cinnamomi","Allium",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Allium",NA,NA,"Brazil","Southern America",2,NA
"P. cinnamomi","Allocasuarina",NA,NA,"Australia","Australasia",14,NA
"P. cinnamomi","Allocasuarina",NA,NA,"New Zealand","Australasia",8,NA
"P. cinnamomi","Alnus","Spain","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Alnus",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Alstroemeria","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Amperea",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Ananas","Cook Is.","Cook Is.","South-Central Pacific","Pacific",1,NA
"P. cinnamomi","Ananas","Fiji","Fiji","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Ananas","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Ananas","Vietnam","Vietnam","Indo-China","Asia-Tropical",2,NA
"P. cinnamomi","Ananas",NA,"Hawaii","North-Central Pacific","Pacific",14,NA
"P. cinnamomi","Ananas",NA,NA,"Australia","Australasia",141,NA
"P. cinnamomi","Ananas",NA,NA,"Brazil","Southern America",2,NA
"P. cinnamomi","Ananas",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Ananas",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Ananas",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Ananas",NA,NA,NA,NA,1,NA
"P. cinnamomi","Andersonia",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Andromeda","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Angophora",NA,NA,"Australia","Australasia",8,NA
"P. cinnamomi","Anigozanthos",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Antidesma",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Antidesma",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Antirrhinum",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Aotus",NA,NA,"Australia","Australasia",9,NA
"P. cinnamomi","Araucaria","Croatia","Yugoslavia","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Araucaria","Papua New Guinea","New Guinea","Papuasia","Asia-Tropical",2,NA
"P. cinnamomi","Araucaria","Paraná","Brazil South","Brazil","Southern America",1,NA
"P. cinnamomi","Araucaria",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Araucaria",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Araucaria",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Araucaria",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Araucaria",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Arbutus","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Arbutus","Portugal","Portugal","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Arbutus",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Arbutus",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Archidasyphyllum",NA,NA,"Southern South America","Southern America",2,NA
"P. cinnamomi","Archontophoenix",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Arctostaphylos","California","California","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Arctostaphylos","Western Australia","Western Australia","Australia","Australasia",1,NA
"P. cinnamomi","Arctostaphylos",NA,NA,NA,"Northern America",4,NA
"P. cinnamomi","Aristotelia",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Aristotelia",NA,NA,"Southern South America","Southern America",3,NA
"P. cinnamomi","Astelia",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Aucuba","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Aucuba",NA,NA,NA,"Northern America",2,"Yes"
"P. cinnamomi","Aulax",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Aulax",NA,NA,"Southern Africa","Africa",5,NA
"P. cinnamomi","Azolla",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Backhousia",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Banksia","Western Australia","Western Australia","Australia","Australasia",2,NA
"P. cinnamomi","Banksia",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Banksia",NA,NA,"Australia","Australasia",189,NA
"P. cinnamomi","Banksia",NA,NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Banksia",NA,NA,"Southern Africa","Africa",7,NA
"P. cinnamomi","Bauera",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Bauera",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Beilschmiedia",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Berberidopsis",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Berberis","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Berzelia",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Berzelia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Betula","Portugal","Portugal","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Betula","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Betula",NA,NA,"Australia","Australasia",8,NA
"P. cinnamomi","Betula",NA,NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Betula",NA,NA,NA,"Northern America",4,NA
"P. cinnamomi","Billardiera",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Blandfordia",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Boronia","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Boronia",NA,NA,"Australia","Australasia",21,NA
