"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. ramorum","Hamamelis japonica",6,NA,4,2,NA
"P. ramorum","Hamamelis mollis",6,NA,4,2,NA
"P. ramorum","Hamamelis virginiana",2,NA,NA,2,NA
"P. ramorum","Hamamelis × intermedia",6,3,3,1,NA
"P. ramorum","Ilex aquifolium",5,1,4,NA,NA
"P. ramorum","Ilex latifolia",2,2,NA,NA,NA
"P. ramorum","Ilex pedunculosa",1,NA,1,NA,NA
"P. ramorum","Ilex × altaclerensis",1,NA,1,NA,NA
"P. ramorum","Kalmia angustifolia",2,1,1,NA,NA
"P. ramorum","Kalmia latifolia",27,15,11,3,"Yes"
"P. ramorum","Larix decidua",1,NA,1,NA,NA
"P. ramorum","Larix kaempferi",16,NA,2,14,"Yes"
"P. ramorum","Laurus nobilis",4,3,1,NA,NA
"P. ramorum","Leucothoe axillaris",1,NA,NA,1,NA
"P. ramorum","Leucothoe fontanesiana",8,5,1,2,NA
"P. ramorum","Magnolia acuminata",1,1,NA,NA,NA
"P. ramorum","Magnolia delavayi",3,NA,3,NA,NA
"P. ramorum","Magnolia denudata",1,NA,1,NA,NA
"P. ramorum","Magnolia doltsopa",4,1,3,NA,NA
"P. ramorum","Magnolia grandiflora",80,42,48,2,NA
"P. ramorum","Magnolia kobus",1,NA,1,NA,NA
"P. ramorum","Magnolia salicifolia",3,1,1,2,NA
"P. ramorum","Magnolia stellata",6,2,1,3,"Yes"
"P. ramorum","Magnolia × loebneri",5,3,NA,2,NA
"P. ramorum","Magnolia × proctoriana",1,1,NA,NA,NA
"P. ramorum","Magnolia × soulangeana",8,2,6,NA,NA
"P. ramorum","Nothofagus obliqua",3,NA,1,2,NA
"P. ramorum","Osmanthus decorus",3,1,NA,2,NA
"P. ramorum","Osmanthus heterophyllus",5,3,NA,2,NA
"P. ramorum","Osmanthus yunnanensis",1,NA,1,NA,NA
"P. ramorum","Parrotia persica",8,1,4,3,NA
"P. ramorum","Photinia × fraseri",2,1,1,NA,NA
"P. ramorum","Picea sitchensis",25,NA,25,NA,"Yes"
"P. ramorum","Pieris floribunda",2,1,NA,1,NA
"P. ramorum","Pieris formosa",29,5,28,1,"Yes"
"P. ramorum","Pieris japonica",57,35,16,6,"Yes"
"P. ramorum","Pinus sylvestris",1,1,NA,NA,NA
"P. ramorum","Platanus × hispanica",1,NA,1,NA,NA
"P. ramorum","Prunus laurocerasus",2,NA,2,NA,NA
"P. ramorum","Prunus lusitanica",1,1,NA,NA,NA
"P. ramorum","Quercus acuta",1,NA,NA,1,NA
"P. ramorum","Quercus cerris",8,NA,4,4,NA
"P. ramorum","Quercus falcata",5,NA,NA,5,NA
"P. ramorum","Quercus ilex",41,19,32,5,NA
"P. ramorum","Quercus petraea",2,NA,NA,2,NA
"P. ramorum","Quercus robur",5,NA,5,NA,NA
"P. ramorum","Rhododendron arboreum",7,NA,7,NA,NA
"P. ramorum","Rhododendron augustinii",23,1,23,NA,NA
"P. ramorum","Rhododendron basilicum",1,NA,1,NA,NA
"P. ramorum","Rhododendron campanulatum",1,NA,1,NA,NA
"P. ramorum","Rhododendron catawbiense",11,5,1,5,NA
"P. ramorum","Rhododendron dichroanthum",1,1,NA,NA,NA
"P. ramorum","Rhododendron falconeri",1,NA,1,NA,NA
"P. ramorum","Rhododendron griersonianum",1,NA,1,NA,NA
"P. ramorum","Rhododendron luteum",1,1,NA,NA,NA
"P. ramorum","Rhododendron morii",1,1,1,NA,NA
"P. ramorum","Rhododendron oreotrephes",3,3,3,NA,NA
"P. ramorum","Rhododendron pachytrichum",1,NA,1,NA,NA
"P. ramorum","Rhododendron ponticum",1229,61,1167,16,"Yes"
"P. ramorum","Rhododendron rubiginosum",1,NA,1,NA,NA
"P. ramorum","Rhododendron stenopetalum",1,1,1,NA,NA
"P. ramorum","Rhododendron yakushimanum",17,15,NA,2,NA
"P. ramorum","Rhododendron yunnanense",1,NA,1,NA,NA
"P. ramorum","Rhododendron × praecox",2,2,NA,NA,NA
"P. ramorum","Ribes laurifolium",1,1,NA,NA,NA
"P. ramorum","Ribes uva-crispa",1,NA,1,NA,NA
"P. ramorum","Sarcococca coriacea",1,NA,NA,1,NA
"P. ramorum","Sarcococca hookeriana",1,NA,NA,1,NA
"P. ramorum","Schima argentea",2,NA,NA,2,NA
"P. ramorum","Sequoia sempervirens",2,NA,2,NA,NA
"P. ramorum","Skimmia japonica",1,1,NA,NA,NA
"P. ramorum","Sorbus cashmiriana",3,NA,1,2,NA
"P. ramorum","Stranvaesia nussia",1,1,1,NA,NA
"P. ramorum","Syringa vulgaris",2,NA,NA,2,NA
"P. ramorum","Taxus baccata",2,1,NA,1,NA
"P. ramorum","Tsuga heterophylla",10,NA,10,NA,"Yes"
"P. ramorum","Umbellularia californica",1,1,1,NA,NA
"P. ramorum","Vaccinium corymbosum",2,2,NA,NA,NA
"P. ramorum","Vaccinium myrtillus",93,NA,91,2,"Yes"
"P. ramorum","Vaccinium vitis-idaea",1,1,NA,NA,NA
"P. ramorum","Vaccinium × intermedium",1,1,NA,NA,NA
"P. ramorum","Viburnum betulifolium",2,1,2,NA,NA
"P. ramorum","Viburnum cylindricum",1,1,1,NA,NA
"P. ramorum","Viburnum davidi",15,11,1,3,NA
"P. ramorum","Viburnum dentatum",1,1,NA,NA,NA
"P. ramorum","Viburnum farreri",19,6,6,9,NA
"P. ramorum","Viburnum japonicum",1,1,1,NA,NA
"P. ramorum","Viburnum plicatum",24,4,16,6,"Yes"
"P. ramorum","Viburnum sieboldii",1,NA,1,NA,NA
"P. ramorum","Viburnum tinus",271,179,39,53,"Yes"
"P. ramorum","Viburnum × bodnantense",44,23,25,5,"Yes"
"P. ramorum","Viburnum × burkwoodii",2,2,1,NA,NA
"P. ramorum","Viburnum × carlcephalum",1,1,NA,NA,NA
"P. ramorum","Viburnum × rhytidophylloides",1,1,NA,NA,NA
"P. ramorum","Viscum album",1,NA,1,NA,NA
