"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Antidesma","New Caledonia","Southwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Society Is.","South-Central Pacific","Pacific",1,"","","","","","",""
"Antidesma","Queensland","Australia","Australasia",0,"","","","","","",""
"Antidesma","Tanzania","East Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Cabinda","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Fiji","Southwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Chad","Northeast Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Nigeria","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Wallis-Futuna Is.","Southwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Hawaii","North-Central Pacific","Pacific",0,"Yes","Yes","","","","",""
"Antidesma","Caroline Is.","Northwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Caprivi Strip","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Ghana","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Zambia","South Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Sudan","Northeast Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Vanuatu","Southwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Namibia","Southern Africa","Africa",0,"","","","","","",""
"Antidesma","Mali","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Trinidad-Tobago","Caribbean","Southern America",1,"","","","","","",""
"Antidesma","Samoa","Southwestern Pacific","Pacific",0,"","","","","","",""
"Antidesma","Guinea","West Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Maluku","Malesia","Asia-Tropical",0,"","","","","","",""
"Antidesma","Gulf Of Guinea Is.","West-Central Tropical Africa","Africa",0,"","","","","","",""
"Antidesma","Zaïre","West-Central Tropical Africa","Africa",0,"","","","","","",""
