"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Loropetalum chinense","Loropetalum chinense","Indo-China","Asia-Tropical","0","","","Yes","","","",""
"Loropetalum chinense","Loropetalum chinense","Eastern Asia","Asia-Temperate","0","","","Yes","","","",""
"Loropetalum chinense","Loropetalum chinense","China","Asia-Temperate","0","","","Yes","","","",""
"Loropetalum chinense","Loropetalum chinense","Indian Subcontinent","Asia-Tropical","0","","","Yes","","","",""
"Leschenaultia biloba","Leschenaultia biloba","Australia","Australasia","0","Yes","Yes","","","","",""
"Laurus nobilis","Laurus nobilis","Southeastern Europe","Europe","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Eastern Europe","Europe","1","","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Northern Europe","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Caucasus","Asia-Temperate","1","","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Northern Africa","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Indo-China","Asia-Tropical","1","","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Southwestern Europe","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Western Asia","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Macaronesia","Africa","1","","","Yes","Yes","Yes","Yes","Yes"
"Laurus nobilis","Laurus nobilis","Eastern Asia","Asia-Temperate","1","","","Yes","Yes","Yes","Yes","Yes"
"Leucothoe axillaris","Leucothoe axillaris","Southeastern U.S.A.","Northern America","both","","","Yes","Yes","","",""
"Leucothoe axillaris","Leucothoe axillaris","Northeastern U.S.A.","Northern America","1","","","Yes","Yes","","",""
"Leucothoe fontanesiana","Leucothoe fontanesiana","Southeastern U.S.A.","Northern America","both","","","Yes","Yes","","",""
"Leucothoe fontanesiana","Leucothoe fontanesiana","Northeastern U.S.A.","Northern America","1","","","Yes","Yes","","",""
"Laburnum anagyroides","Laburnum anagyroides","Southwestern Europe","Europe","both","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Northern Europe","Europe","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Eastern Europe","Europe","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Southern South America","Southern America","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Middle Europe","Europe","both","Yes","Yes","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Indian Subcontinent","Asia-Tropical","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","New Zealand","Australasia","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Australia","Australasia","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Southeastern Europe","Europe","both","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Caucasus","Asia-Temperate","1","","","","","","","Yes"
"Laburnum anagyroides","Laburnum anagyroides","Malesia","Asia-Tropical","1","","","","","","","Yes"
