"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. ramorum","Camellia japonica","Northern Europe","Europe",43,42,NA,1,NA,NA
"P. ramorum","Camellia reticulata","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Camellia sasanqua","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Camellia sinensis","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Camellia × williamsii","Northern Europe","Europe",11,11,NA,NA,NA,NA
"P. ramorum","Castanea sativa","Northern Europe","Europe",77,63,NA,7,NA,7
"P. ramorum","Castanopsis tribuloides","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Cedrus libani","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Cephalotaxus harringtonii","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Chamaecyparis lawsoniana","Northern Europe","Europe",7,2,2,1,NA,2
"P. ramorum","Chrysojasminum humile","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Cinnamomum camphora","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Cornus capitata","Northern Europe","Europe",12,12,NA,NA,NA,NA
"P. ramorum","Cornus kousa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Crataegus germanica","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Daphne bholua","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Drimys winteri","Northern Europe","Europe",5,3,NA,NA,NA,2
"P. ramorum","Fagus sylvatica","Northern Europe","Europe",13,6,1,NA,NA,6
"P. ramorum","Fothergilla latifolia","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Fraxinus excelsior","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Garrya elliptica","Northern Europe","Europe",4,2,1,1,NA,NA
"P. ramorum","Gaultheria procumbens","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Gaultheria shallon","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Griselinia littoralis","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Hamamelis japonica","Northern Europe","Europe",6,4,NA,NA,NA,2
"P. ramorum","Hamamelis mollis","Northern Europe","Europe",6,3,NA,1,NA,2
"P. ramorum","Hamamelis virginiana","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Hamamelis × intermedia","Northern Europe","Europe",6,5,NA,NA,NA,1
"P. ramorum","Ilex aquifolium","Northern Europe","Europe",5,5,NA,NA,NA,NA
"P. ramorum","Ilex latifolia","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Ilex pedunculosa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Ilex × altaclerensis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Kalmia angustifolia","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Kalmia latifolia","Northern Europe","Europe",27,22,1,2,NA,2
"P. ramorum","Larix decidua","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Larix kaempferi","Northern Europe","Europe",16,3,3,NA,4,6
"P. ramorum","Laurus nobilis","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Leucothoe axillaris","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Leucothoe fontanesiana","Northern Europe","Europe",8,7,NA,1,NA,NA
"P. ramorum","Magnolia acuminata","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Magnolia delavayi","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. ramorum","Magnolia denudata","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Magnolia doltsopa","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. ramorum","Magnolia grandiflora","Northern Europe","Europe",80,79,NA,1,NA,NA
"P. ramorum","Magnolia kobus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Magnolia salicifolia","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Magnolia stellata","Northern Europe","Europe",6,2,1,NA,NA,3
"P. ramorum","Magnolia × loebneri","Northern Europe","Europe",5,3,NA,NA,NA,2
"P. ramorum","Magnolia × proctoriana","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Magnolia × soulangeana","Northern Europe","Europe",8,4,NA,3,NA,1
"P. ramorum","Nothofagus obliqua","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Osmanthus decorus","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Osmanthus heterophyllus","Northern Europe","Europe",5,3,NA,NA,NA,2
"P. ramorum","Osmanthus yunnanensis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Parrotia persica","Northern Europe","Europe",8,5,NA,1,NA,2
"P. ramorum","Photinia × fraseri","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Picea sitchensis","Northern Europe","Europe",25,NA,25,NA,NA,NA
"P. ramorum","Pieris floribunda","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Pieris formosa","Northern Europe","Europe",29,23,4,2,NA,NA
"P. ramorum","Pieris japonica","Northern Europe","Europe",57,54,2,1,NA,NA
"P. ramorum","Pinus sylvestris","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Platanus × hispanica","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Prunus laurocerasus","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Prunus lusitanica","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Quercus acuta","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Quercus cerris","Northern Europe","Europe",8,5,NA,NA,NA,3
"P. ramorum","Quercus falcata","Northern Europe","Europe",5,NA,NA,NA,NA,5
"P. ramorum","Quercus ilex","Northern Europe","Europe",41,33,NA,3,NA,5
"P. ramorum","Quercus petraea","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. ramorum","Quercus robur","Northern Europe","Europe",5,4,NA,1,NA,NA
"P. ramorum","Rhododendron arboreum","Northern Europe","Europe",7,7,NA,NA,NA,NA
"P. ramorum","Rhododendron augustinii","Northern Europe","Europe",23,3,NA,20,NA,NA
"P. ramorum","Rhododendron basilicum","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. ramorum","Rhododendron campanulatum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron catawbiense","Northern Europe","Europe",11,9,NA,NA,NA,2
"P. ramorum","Rhododendron dichroanthum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron falconeri","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron griersonianum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron luteum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron morii","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron oreotrephes","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. ramorum","Rhododendron pachytrichum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron ponticum","Northern Europe","Europe",1229,1088,2,132,NA,7
"P. ramorum","Rhododendron rubiginosum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron stenopetalum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron yakushimanum","Northern Europe","Europe",17,17,NA,NA,NA,NA
"P. ramorum","Rhododendron yunnanense","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Rhododendron × praecox","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Ribes laurifolium","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Ribes uva-crispa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Sarcococca coriacea","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Sarcococca hookeriana","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Schima argentea","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. ramorum","Sequoia sempervirens","Northern Europe","Europe",2,NA,NA,2,NA,NA
"P. ramorum","Skimmia japonica","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. ramorum","Sorbus cashmiriana","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. ramorum","Stranvaesia nussia","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Syringa vulgaris","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. ramorum","Taxus baccata","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Tsuga heterophylla","Northern Europe","Europe",10,NA,10,NA,NA,NA
"P. ramorum","Umbellularia californica","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Vaccinium corymbosum","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. ramorum","Vaccinium myrtillus","Northern Europe","Europe",93,85,2,4,NA,2
"P. ramorum","Vaccinium vitis-idaea","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Vaccinium × intermedium","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum betulifolium","Northern Europe","Europe",2,1,NA,1,NA,NA
"P. ramorum","Viburnum cylindricum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum davidi","Northern Europe","Europe",15,13,NA,NA,NA,2
"P. ramorum","Viburnum dentatum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum farreri","Northern Europe","Europe",19,10,NA,4,NA,5
"P. ramorum","Viburnum japonicum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum plicatum","Northern Europe","Europe",24,10,3,6,NA,5
"P. ramorum","Viburnum sieboldii","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum tinus","Northern Europe","Europe",271,239,3,7,NA,22
"P. ramorum","Viburnum × bodnantense","Northern Europe","Europe",44,30,1,12,NA,1
"P. ramorum","Viburnum × burkwoodii","Northern Europe","Europe",2,1,NA,1,NA,NA
"P. ramorum","Viburnum × carlcephalum","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viburnum × rhytidophylloides","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. ramorum","Viscum album","Northern Europe","Europe",1,1,NA,NA,NA,NA
