"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Bossiaea","Australasia","0","Yes","Yes","","","","",""
"Brabejum","Africa","0","Yes","Yes","","","","",""
"Brunonia","Australasia","0","Yes","Yes","","","","",""
"Buxus","Europe","both","Yes","Yes","Yes","Yes","Yes","","Yes"
"Buxus","Asia-Tropical","0","","","Yes","Yes","Yes","","Yes"
"Buxus","Africa","both","","","Yes","Yes","Yes","","Yes"
"Buxus","Asia-Temperate","both","Yes","","Yes","Yes","Yes","","Yes"
"Buxus","Southern America","both","Yes","","Yes","Yes","Yes","","Yes"
"Buxus","Northern America","both","Yes","Yes","Yes","Yes","Yes","","Yes"
"Buxus","Australasia","1","Yes","","Yes","Yes","Yes","","Yes"
"Cajanus","Africa","both","","","","","","",""
"Cajanus","Asia-Tropical","both","Yes","","","","","",""
"Cajanus","Southern America","1","Yes","","","","","",""
"Cajanus","Asia-Temperate","both","Yes","","","","","",""
"Cajanus","Pacific","both","Yes","Yes","","","","",""
"Cajanus","Northern America","1","Yes","Yes","","","","",""
"Cajanus","Australasia","both","Yes","","","","","",""
"Calluna","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Calluna","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Calluna","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Calluna","Antarctica","1","","","Yes","Yes","Yes","Yes","Yes"
"Calluna","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Calluna","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Camellia","Asia-Temperate","both","Yes","Yes","Yes","Yes","Yes","",""
"Camellia","Africa","1","","","Yes","Yes","Yes","",""
"Camellia","Asia-Tropical","both","","","Yes","Yes","Yes","",""
"Camellia","Southern America","1","","","Yes","Yes","Yes","",""
"Carica","Asia-Temperate","1","Yes","","","","","",""
"Carica","Southern America","both","Yes","Yes","","","","",""
"Carica","Asia-Tropical","1","Yes","","","","","",""
"Carica","Africa","1","Yes","","","","","",""
"Carica","Northern America","both","Yes","","","","","",""
"Carica","Australasia","1","Yes","Yes","","","","",""
"Carica","Pacific","1","Yes","","","","","",""
"Carpodetus","Asia-Tropical","0","","","","","","",""
"Carpodetus","Australasia","0","Yes","Yes","","","","",""
"Carpodetus","Pacific","0","","","","","","",""
"Carya","Northern America","0","Yes","","","","","",""
"Carya","Asia-Temperate","both","Yes","Yes","","","","",""
"Carya","Europe","1","Yes","","","","","",""
"Carya","Asia-Tropical","0","","","","","","",""
"Carya","Southern America","1","","","","","","",""
"Cassiope","Northern America","both","","","","","","",""
"Cassiope","Asia-Temperate","0","","","","","","",""
"Cassiope","Asia-Tropical","0","","","","","","",""
"Cassiope","Europe","0","Yes","Yes","","","","",""
"Ceanothus","Southern America","0","","","Yes","Yes","","",""
"Ceanothus","Northern America","0","Yes","Yes","Yes","Yes","","",""
"Ceratopetalum","Australasia","0","Yes","Yes","","","","",""
"Ceratopetalum","Asia-Tropical","0","","","","","","",""
"Cercis","Northern America","0","Yes","Yes","Yes","","","",""
"Cercis","Asia-Temperate","both","","","Yes","","","",""
"Cercis","Europe","both","Yes","","Yes","","","",""
"Cercis","Africa","1","","","Yes","","","",""
"Cercis","Australasia","1","","","Yes","","","",""
"Cercis","Asia-Tropical","1","","","Yes","","","",""
"Choisya","Africa","1","","","Yes","Yes","","",""
"Choisya","Northern America","0","Yes","","Yes","Yes","","",""
"Chorizema","Australasia","0","Yes","Yes","","","","",""
"Chorizema","Asia-Tropical","1","","","","","","",""
"Cinnamomum","Asia-Temperate","0","Yes","Yes","Yes","Yes","","",""
"Cinnamomum","Africa","1","","","Yes","Yes","","",""
"Cinnamomum","Southern America","1","Yes","","Yes","Yes","","",""
"Cinnamomum","Asia-Tropical","both","Yes","Yes","Yes","Yes","","",""
"Cinnamomum","Northern America","1","Yes","Yes","Yes","Yes","","",""
"Cinnamomum","Australasia","both","Yes","Yes","Yes","Yes","","",""
"Cinnamomum","Pacific","both","","","Yes","Yes","","",""
"Cissus","Africa","both","","","","","","",""
"Cissus","Pacific","both","","","","","","",""
"Cissus","Northern America","0","Yes","","","","","",""
"Cissus","Australasia","0","Yes","Yes","","","","",""
"Cissus","Asia-Tropical","0","","","","","","",""
"Cissus","Asia-Temperate","0","","","","","","",""
"Cissus","Southern America","0","","","","","","",""
"Cistus","Europe","both","Yes","Yes","Yes","","","",""
"Cistus","Asia-Temperate","0","","","Yes","","","",""
"Cistus","Africa","0","","","Yes","","","",""
"Cistus","Australasia","1","Yes","Yes","Yes","","","",""
"Cistus","Northern America","1","Yes","","Yes","","","",""
"Citrus","Africa","1","Yes","","Yes","","","",""
"Citrus","Northern America","1","Yes","Yes","Yes","","","",""
"Citrus","Southern America","1","Yes","Yes","Yes","","","",""
"Citrus","Asia-Tropical","both","Yes","","Yes","","","",""
"Citrus","Asia-Temperate","both","Yes","Yes","Yes","","","",""
"Citrus","Pacific","both","Yes","","Yes","","","",""
"Citrus","Europe","1","Yes","Yes","Yes","","","",""
"Citrus","Australasia","0","Yes","Yes","Yes","","","",""
"Coccoloba","Northern America","0","","","","","","",""
"Coccoloba","Southern America","0","","","","","","",""
"Coccoloba","Pacific","1","","","","","","",""
"Coccoloba","Asia-Tropical","1","","","","","","",""
"Coccoloba","Africa","1","","","","","","",""
"Coleonema","Africa","0","","","","","","",""
"Coleonema","Australasia","1","Yes","Yes","","","","",""
"Comptonia","Northern America","0","Yes","Yes","","","","",""
"Conostephium","Australasia","0","Yes","Yes","","","","",""
"Corokia","Australasia","0","Yes","Yes","","","","",""
"Corokia","Pacific","0","","","","","","",""
"Correa","Australasia","0","Yes","Yes","","","","","Yes"
"Correa","Europe","1","Yes","","","","","","Yes"
"Corylopsis","Asia-Temperate","0","","","Yes","Yes","","",""
"Corylopsis","Asia-Tropical","0","","","Yes","Yes","","",""
"Cotinus","Asia-Temperate","both","","","Yes","Yes","","","Yes"
"Cotinus","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Cotinus","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Cotinus","Northern America","both","","","Yes","Yes","","","Yes"
"Crassula","Africa","both","","","","","","","Yes"
"Crassula","Europe","both","","","","","","","Yes"
"Crassula","Northern America","both","","","","","","","Yes"
"Crassula","Asia-Temperate","both","","","","","","","Yes"
"Crassula","Southern America","both","","","","","","","Yes"
"Crassula","Antarctica","both","","","","","","","Yes"
"Crassula","Asia-Tropical","0","","","","","","","Yes"
"Crassula","Australasia","0","Yes","Yes","","","","","Yes"
"Crassula","Pacific","1","","","","","","","Yes"
"Cucumis","Asia-Tropical","both","Yes","","Yes","","Yes","",""
"Cucumis","Africa","both","Yes","","Yes","","Yes","",""
"Cucumis","Northern America","1","Yes","Yes","Yes","","Yes","",""
"Cucumis","Asia-Temperate","both","Yes","","Yes","","Yes","",""
"Cucumis","Southern America","1","Yes","","Yes","","Yes","",""
"Cucumis","Europe","1","Yes","","Yes","","Yes","",""
"Cucumis","Pacific","1","","","Yes","","Yes","",""
"Cucumis","Australasia","both","Yes","","Yes","","Yes","",""
"Cucurbita","Asia-Tropical","1","","","","","","",""
"Cucurbita","Southern America","both","Yes","","","","","",""
"Cucurbita","Africa","1","Yes","","","","","",""
"Cucurbita","Europe","1","Yes","","","","","",""
"Cucurbita","Northern America","both","Yes","","","","","",""
"Cucurbita","Pacific","1","Yes","","","","","",""
"Cucurbita","Asia-Temperate","1","Yes","","","","","",""
"Cucurbita","Australasia","1","Yes","Yes","","","","",""
"Cyathodes","Australasia","0","Yes","Yes","","","","",""
"Cyclamen","Europe","both","Yes","","","","","","Yes"
"Cyclamen","Asia-Temperate","0","Yes","","","","","","Yes"
"Cyclamen","Africa","0","","","","","","","Yes"
"Cyclamen","Northern America","1","Yes","","","","","","Yes"
"Cyrilla","Northern America","0","Yes","Yes","","","","",""
"Cyrilla","Southern America","0","","","","","","",""
"Daboecia","Australasia","1","Yes","Yes","","","","",""
"Daboecia","Europe","both","","","","","","",""
"Daboecia","Africa","0","","","","","","",""
"Dampiera","Australasia","0","Yes","Yes","","","","",""
"Daphne","Asia-Temperate","both","Yes","","Yes","Yes","","","Yes"
"Daphne","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Daphne","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Daphne","Northern America","1","Yes","Yes","Yes","Yes","","","Yes"
"Daphne","Australasia","1","Yes","Yes","Yes","Yes","","","Yes"
"Daphne","Africa","0","","","Yes","Yes","","","Yes"
"Daviesia","Australasia","0","Yes","Yes","","","","",""
"Dillwynia","Australasia","0","Yes","Yes","","","","",""
"Diplolaena","Australasia","0","Yes","Yes","","","","",""
"Drimys","Southern America","both","Yes","Yes","Yes","Yes","","",""
"Drimys","Northern America","0","","","Yes","Yes","","",""
"Durio","Asia-Tropical","both","Yes","Yes","","","","",""
"Elaeagnus","Southern America","1","","","Yes","Yes","","","Yes"
"Elaeagnus","Asia-Temperate","both","","","Yes","Yes","","","Yes"
"Elaeagnus","Northern America","both","Yes","","Yes","Yes","","","Yes"
"Elaeagnus","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Elaeagnus","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Elaeagnus","Africa","1","","","Yes","Yes","","","Yes"
"Elaeagnus","Australasia","both","","","Yes","Yes","","","Yes"
"Elaeagnus","Pacific","1","","","Yes","Yes","","","Yes"
"Elaeocarpus","Asia-Tropical","0","","","","","","",""
"Elaeocarpus","Australasia","0","Yes","Yes","","","","",""
"Elaeocarpus","Asia-Temperate","0","","","","","","",""
