"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Carpinus","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","China","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus","Southeastern Europe","Europe","0","Yes","","Yes","Yes","","","Yes"
"Carpinus","Indo-China","Asia-Tropical","0","","","Yes","Yes","","","Yes"
"Carpinus","Southwestern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Carpinus","Caucasus","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus","Central America","Southern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Northern Europe","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Carpinus","South-Central U.S.A.","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Europe","Europe","0","","","Yes","Yes","","","Yes"
"Carpinus","Mexico","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Middle Europe","Europe","0","Yes","","Yes","Yes","","","Yes"
"Carpinus","Western Asia","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus","Eastern Canada","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Indian Subcontinent","Asia-Tropical","0","Yes","","Yes","Yes","","","Yes"
"Carpinus","Russian Far East","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Castanea","North-Central U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southeastern U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northeastern U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","South-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southwestern Europe","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Western Asia","Asia-Temperate","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Northern Africa","Africa","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Macaronesia","Africa","1","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
