"Phytophthora","Host","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Persea",NA,"Southern Africa","Africa",8,NA
"P. cinnamomi","Persea",NA,"Southern South America","Southern America",12,NA
"P. cinnamomi","Persea",NA,NA,"Northern America",10,NA
"P. cinnamomi","Persea",NA,NA,"Southern America",1,NA
"P. cinnamomi","Persea",NA,NA,NA,1,NA
"P. cinnamomi","Persoonia",NA,"Australia","Australasia",3,NA
"P. cinnamomi","Petrophile",NA,"Australia","Australasia",7,NA
"P. cinnamomi","Phaseolus",NA,"Southern South America","Southern America",1,NA
"P. cinnamomi","Philotheca",NA,"Australia","Australasia",1,NA
"P. cinnamomi","Phormium",NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Phyllocladus",NA,"New Zealand","Australasia",7,NA
"P. cinnamomi","Picea","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea","France","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Picea","Maryland","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Picea","New York","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea","North Carolina","Southeastern U.S.A.","Northern America",3,NA
"P. cinnamomi","Picea","Virginia","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Picea",NA,NA,"Northern America",9,NA
"P. cinnamomi","Pieris","Czechoslovakia","Middle Europe","Europe",1,"Yes"
"P. cinnamomi","Pieris","Maryland","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Pieris","North Carolina","Southeastern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Pieris","Switzerland","Middle Europe","Europe",1,"Yes"
"P. cinnamomi","Pieris","Washington","Northwestern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Pieris",NA,"Australia","Australasia",5,"Yes"
"P. cinnamomi","Pieris",NA,"New Zealand","Australasia",6,"Yes"
"P. cinnamomi","Pieris",NA,NA,"Northern America",4,"Yes"
"P. cinnamomi","Pimelea",NA,"Australia","Australasia",9,NA
"P. cinnamomi","Pinus","California","Southwestern U.S.A.","Northern America",8,"Yes"
"P. cinnamomi","Pinus","Delaware","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Pinus","Dominican Republic","Caribbean","Southern America",2,"Yes"
"P. cinnamomi","Pinus","Florida","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Pinus","France","Southwestern Europe","Europe",4,"Yes"
